AvgSpotLen	BioSample	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	LibraryLayout	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	Instrument	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
297	SAMN05990315	gs ncbi s3	gs.US s3.us-east-1	SRX2548432	0	PAIRED	D2_73	375	171	SRR5241579	SRS1967036	White Master Kush	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990325	gs ncbi s3	gs.US s3.us-east-1	SRX2548433	0	PAIRED	D2_86	545	243	SRR5241580	SRS1967037	Purple Kryptonite1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990328	gs ncbi s3	gs.US s3.us-east-1	SRX2548434	0	PAIRED	D2_89	321	154	SRR5241581	SRS1967038	Oddball	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990327	gs ncbi s3	gs.US s3.us-east-1	SRX2548435	0	PAIRED	D2_88	608	293	SRR5241582	SRS1967039	Nuclear Fruit1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990326	gs ncbi s3	gs.US s3.us-east-1	SRX2548436	0	PAIRED	D2_87	410	185	SRR5241583	SRS1967040	MN unknown	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990333	gs ncbi s3	gs.US s3.us-east-1	SRX2548437	0	PAIRED	D2_94	510	214	SRR5241584	SRS1967041	Matt 32	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990332	gs ncbi s3	gs.US s3.us-east-1	SRX2548438	0	PAIRED	D2_93	766	319	SRR5241585	SRS1967042	Matt 31	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990330	gs ncbi s3	gs.US s3.us-east-1	SRX2548439	0	PAIRED	D2_91	154	64	SRR5241586	SRS1967043	Master Kush	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990311	gs ncbi s3	gs.US s3.us-east-1	SRX2548440	0	PAIRED	D2_69	696	288	SRR5241587	SRS1967044	Liberty Haze1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990313	gs ncbi s3	gs.US s3.us-east-1	SRX2548441	0	PAIRED	D2_71	464	193	SRR5241588	SRS1967045	Jah	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990323	gs ncbi s3	gs.US s3.us-east-1	SRX2548442	0	PAIRED	D2_84	345	145	SRR5241589	SRS1967046	Jack Herer	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990316	gs ncbi s3	gs.US s3.us-east-1	SRX2548443	0	PAIRED	D2_74	799	361	SRR5241590	SRS1967047	Headband1	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990329	gs ncbi s3	gs.US s3.us-east-1	SRX2548444	0	PAIRED	D2_90	214	103	SRR5241591	SRS1967049	Halfy	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
297	SAMN05990312	gs ncbi s3	gs.US s3.us-east-1	SRX2548445	0	PAIRED	D2_70	654	272	SRR5241592	SRS1967048	Corleone Kush	WGS	PRJNA350539	SUNRISE GENETICS	public	sra unknown_contigs	Illumina HiSeq 4000	Restriction Digest	GENOMIC	2017-02-09	Cannabis sativa	ILLUMINA	2017-02-14	SRP099161
